"﻿""Function""",String Count,Total Characters,Translated,NPC/Event
0459H,61,3773,Yes,Karl (山裡的老頭/造船匠受害者家屬)
045AH,131,8492,Yes,
045BH,82,4514,Yes,
045CH,71,3732,Yes,
045DH,43,2315,Yes,
045EH,63,2660,Yes,
045FH,61,3690,Yes,Jakher (Minoc 訓練師)
0460H,60,2808,Yes,Jergi (Minoc 吉普賽人之王)
0461H,48,2257,Yes,Mikos (Minoc 礦場工頭)
0462H,84,3329,Yes,Saralek (雌性森靈)
0463H,37,1316,Yes,Fodus (生病的石像鬼礦工)
0464H,51,1774,Yes,Tavenor (森靈)
0465H,71,2750,Yes,Salamon (森靈長老)
0466H,68,5199,Yes,Translated in Batch 04 (0466)
0467H,42,1856,Yes,Translated in Batch 04 (0467)
0468H,46,1850,Yes,Translated in Batch 04 (0468)
0469H,41,1231,Yes,Translated in Batch 04 (0469)
046AH,55,2024,Yes,Translated in Batch 04 (046A)
046BH,94,5119,Yes,Translated in Batch 04 (046B)
046CH,84,3814,Yes,Translated in Batch 04 (046C)
046DH,72,2455,Yes,Translated in Batch 04 (046D)
046EH,68,3804,Yes,Translated in Batch 04 (046E)
046FH,39,943,Yes,Translated in Batch 04 (046F)
0470H,58,1989,Yes,Translated in Batch 05 (0470)
0471H,92,2829,Yes,Translated in Batch 05 (0471)
0472H,60,2288,Yes,Translated in Batch 05 (0472)
0473H,50,2104,Yes,Translated in Batch 05 (0473)
0474H,62,2171,Yes,Translated in Batch 05 (0474)
0475H,70,1830,Yes,Translated in Batch 05 (0475)
0476H,62,1814,Yes,Translated in Batch 05 (0476)
0477H,71,3883,Yes,Translated in Batch 05 (0477)
0478H,87,4875,Yes,Translated in Batch 05 (0478)
0479H,85,4178,Yes,Translated in Batch 05 (0479)
047AH,111,5350,Yes,Ophelia (Jhelom Barmaid)
047BH,77,3445,Yes,Done
047CH,146,6763,Yes,Done
047DH,49,3213,Yes,Done
047EH,55,2915,Yes,Done
047FH,35,2280,Yes,Done
0480H,33,1111,Yes,Done
0481H,88,3296,Yes,Russell (New Magincia Shipwright)
0482H,107,4688,Yes,Boris (New Magincia Innkeeper)
0483H,81,3631,Yes,Magenta (New Magincia Mayor)
0484H,66,2632,Yes,Henry (New Magincia Peddler)
0485H,82,3889,Yes,Constance (New Magincia Waterbearer)
0486H,108,5492,Yes,Done
0487H,62,2398,Yes,Done
0488H,98,3782,Yes,Done
0489H,81,4727,Yes,Done
048AH,97,5635,Yes,Done
048CH,60,5544,Yes,
048DH,63,4548,Yes,
048EH,59,4634,Yes,
048FH,84,6314,Yes,
0490H,25,1497,Yes,
0491H,71,3912,Yes,
0492H,92,7140,Yes,
0493H,95,6497,Yes,
0495H,81,3230,Yes,
0496H,86,5234,Yes,
0497H,73,3319,Yes,
0498H,89,4476,Yes,
0499H,78,2585,Yes,
049AH,77,2394,Yes,
049BH,47,2878,Yes,
049CH,82,4411,Yes,
049DH,63,2543,Yes,
049EH,50,1111,Yes,
049FH,29,977,Yes,
04A0H,49,2644,Yes,Effrem (Moonglow)
04A1H,42,1329,Yes,Chad (Moonglow)
04A2H,64,3012,Yes,Elad (Moonglow 治療師)
04A3H,119,3960,Yes,Phearcy (Moonglow 酒保)
04A4H,69,2414,Yes,Addom (旅行商人)
04A5H,58,2440,Yes,Frank (誠實狐狸)
04A6H,72,3363,Yes,Thurston (Paws 磨坊老闆)
04A7H,136,6832,Yes,Feridwyn (Paws 庇護所負責人)
04A8H,74,3631,Yes,Brita (庇護所負責人妻子)
04A9H,55,2143,Yes,Alina (尋夫農婦)
04AAH,69,2388,Yes,Merrick (Paws 乞丐)
04ABH,105,4319,Yes,Garritt (Paws 屁孩)
04ACH,140,5858,Yes,Morfin (Paws 屠宰場老闆)
04ADH,85,5105,Yes,Beverlea (Paws 裁縫店老闆)
04AEH,79,2233,Yes,Komor (Paws 乞丐)
04AFH,104,2787,Yes,Fenn (Paws 乞丐)
04B0H,80,2475,Yes,Andrew (Paws 乳製品廠老闆)
04B1H,72,3634,Yes,Camille (Paws 農婦)
04B2H,85,4263,Yes,Tobias (Paws 農婦之子)
04B3H,51,1706,Yes,Polly (Paws 酒館老闆娘)
04B4H,80,4617,Yes,Draxinusom (Terfin 前任國王)
04B5H,48,1238,Yes,Inforlem (Terfin 訓練師)
04B6H,60,1654,Yes,Inmanilem (Terfin 治療師)
04B7H,78,5135,Yes,Teregus (Terfin 神殿守護者)
04B8H,30,858,Yes,Runeb (Terfin 兄弟會陰謀家)
04B9H,87,3583,Yes,Quan (Terfin 兄弟會領袖)
04BAH,73,2697,Yes,Quaeven (Terfin 兄弟會成員)
04BBH,32,941,Yes,Silamo (Terfin 守衛)
04BCH,54,1846,Yes,Sarpling (Terfin 魔法材料商人)
04BDH,91,3133,Yes,Forbrak (Terfin 酒保)
04BEH,58,2285,Yes,Betra (Terfin 物資商人)
04BFH,73,4876,Yes,Martingo (Spektran 蘇丹)
04C0H,45,1531,Yes,Menion (Serpent's Hold 訓練師)
04C1H,62,2122,Yes,Sir Pendaran (Serpent's Hold 騎士)
04C2H,78,3366,Yes,Lady Jehanne (Serpent's Hold 物資商人)
04C3H,100,4350,Yes,Lord John-Paul (Serpent's Hold 領主)
04C4H,90,3546,Yes,Sir Richter (Serpent's Hold 騎士/副手)
04C5H,58,1666,Yes,Sir Horffe (Serpent's Hold 衛兵隊長)
04C6H,67,1854,Yes,Sir Jordan (Serpent's Hold 盲眼騎士)
04C7H,122,4974,Yes,Sir Denton (Serpent's Hold 酒館老闆)
04C8H,87,4034,Yes,Lady Tory (Serpent's Hold 顧問)
04C9H,52,2110,Yes,Lady Leigh (Serpent's Hold 治療師)
04CAH,60,2673,Yes,Ian (Vesper 冥想靜修處主任)
04CBH,60,2026,Yes,Cador (Vesper 礦工)
04CCH,49,1698,Yes,Mara (Vesper 礦工)
04CDH,57,1886,Yes,Zaksam (Vesper 訓練師)
